|                     |   midi |   motion |
|:--------------------|-------:|---------:|
| vio01_Bach1_S1_T1   |   6602 |     6599 |
| vio01_Bach1_S1_T2   |   7354 |     7428 |
| vio01_Bach2_S1_T1   |   7344 |     7380 |
| vio01_Bach2_S1_T2   |   7142 |     7145 |
| vio01_Bach2_S2_T1   |   6202 |     6255 |
| vio01_Bach2_S2_T2   |   6075 |     6153 |
| vio01_Beeth1_S1_T1  |   8230 |     8276 |
| vio01_Beeth1_S1_T2  |   8839 |     8925 |
| vio01_Beeth2_S1_T1  |   3468 |     3548 |
| vio01_Beeth2_S1_T2  |   3792 |     3850 |
| vio01_Elgar_S1_T1   |   7355 |     7524 |
| vio01_Elgar_S1_T2   |   7785 |     7955 |
| vio01_Flower_S1_T1  |   4618 |     4695 |
| vio01_Flower_S1_T2  |   4735 |     4804 |
| vio01_Mend_S1_T1    |   7526 |     7581 |
| vio01_Mend_S1_T2    |   7074 |     7092 |
| vio01_Mozart1_S1_T1 |   4839 |     4862 |
| vio01_Mozart1_S1_T2 |   4720 |     4897 |
| vio01_Mozart2_S1_T1 |   6404 |     6467 |
| vio01_Mozart2_S1_T2 |   6438 |     6498 |
| vio01_Wind_S1_T1    |   5728 |     5815 |
| vio01_Wind_S1_T2    |   5175 |     5281 |
| vio02_Bach1_S1_T1   |   5990 |     6373 |
| vio02_Bach1_S1_T2   |   6181 |     6003 |
| vio02_Bach2_S1_T1   |   5581 |     5466 |
| vio02_Bach2_S1_T2   |   5495 |     5403 |
| vio02_Bach2_S2_T1   |   4418 |     4386 |
| vio02_Bach2_S2_T2   |   4351 |     4353 |
| vio02_Beeth1_S1_T1  |   8546 |     8524 |
| vio02_Beeth1_S1_T2  |   8802 |     8660 |
| vio02_Beeth2_S1_T1  |   4762 |     4713 |
| vio02_Beeth2_S1_T2  |   4967 |     4925 |
| vio02_Elgar_S1_T1   |   6960 |     6959 |
| vio02_Elgar_S1_T2   |   6851 |     6840 |
| vio02_Flower_S1_T1  |   5410 |     5372 |
| vio02_Flower_S1_T2  |   5376 |     5396 |
| vio02_Mend_S1_T1    |   6141 |     6037 |
| vio02_Mend_S1_T2    |   6154 |     6074 |
| vio02_Mozart1_S1_T1 |   4821 |     4663 |
| vio02_Mozart1_S1_T2 |   4761 |     4637 |
| vio02_Mozart2_S1_T1 |   6400 |     6314 |
| vio02_Mozart2_S1_T2 |   6196 |     6289 |
| vio02_Wind_S1_T1    |   5895 |     6087 |
| vio02_Wind_S1_T2    |   5734 |     6061 |
| vio03_Bach1_S1_T1   |   6354 |     6286 |
| vio03_Bach1_S1_T2   |   6394 |     6287 |
| vio03_Bach2_S1_T1   |   5786 |     5665 |
| vio03_Bach2_S1_T2   |   5709 |     5566 |
| vio03_Bach2_S2_T1   |   4880 |     4761 |
| vio03_Bach2_S2_T2   |   4866 |     4826 |
| vio03_Beeth1_S1_T1  |   8857 |     8782 |
| vio03_Beeth1_S1_T2  |   9062 |     8908 |
| vio03_Beeth2_S1_T1  |   4010 |     3937 |
| vio03_Beeth2_S1_T2  |   4147 |     4065 |
| vio03_Elgar_S1_T1   |   6974 |     7021 |
| vio03_Elgar_S1_T2   |   6531 |     6409 |
